L5159270,US,US-VT,US-VT-001,44.0309168,-73.0882645,Abbey Pond Trail,2021-05-16 12:00,28
L4380556,US,US-VT,US-VT-025,42.7543548,-72.6468587,Abijah Prince Pond,2016-03-13 16:20,2
L7530599,US,US-VT,US-VT-001,44.120849,-72.969268,Abraham’s Knees (Restricted Access),2019-08-06 22:40,57
L751851,US,US-VT,US-VT-003,42.8862584,-73.0395716,Adams Reservoir - Woodford (21 acres),2020-10-17 12:47,59
L1135382,US,US-VT,US-VT-027,43.7956826,-72.4967515,Ainsworth Farm,2021-04-29 10:43,120
L520221,US,US-VT,US-VT-021,43.5861419,-72.9159164,Aitken State Forest,2021-05-17 08:45,104
L1652448,US,US-VT,US-VT-013,44.866077,-73.29846,Alburg Dunes State Park,2021-05-20 12:12,128
L6280994,US,US-VT,US-VT-013,44.9708676,-73.2309002,Alburgh Lakeshore Park,2021-05-22 14:39,32
L1909158,US,US-VT,US-VT-011,44.8196553,-73.0707228,Aldis Hill Park and Hard'ack,2021-05-14 19:41,96
L201202,US,US-VT,US-VT-025,43.0959244,-72.4475006,Allen Brothers Marsh,2021-05-23 09:22,180
L1324790,US,US-VT,US-VT-017,44.0429334,-72.6361084,Allis State Park,2021-04-19 11:09,48
L751853,US,US-VT,US-VT-027,43.4870973,-72.7043442,Amherst Lake - Plymouth (81 acres),2021-05-23 08:21,96
L1582582,US,US-VT,US-VT-027,43.742551,-72.5344319,Amity Pond Natural Area State Park,2020-04-23 14:00,50
L751854,US,US-VT,US-VT-027,43.242532,-72.7484428,Andover Pond - Andover (11 acres),2020-10-27 08:27,55
L11558195,US,US-VT,US-VT-007,44.4036165,-72.9741447,Andrews Community Forest,2021-05-13 12:36,77
L884099,US,US-VT,US-VT-027,43.8368175,-72.6170111,"Ansel Pond, Bethel",2020-11-04 11:37,31
L2266543,US,US-VT,US-VT-007,44.2110162,-72.9316003,Appalachian Gap,2021-05-21 07:28,78
L10700108,US,US-VT,US-VT-003,43.0808,-73.1515217,Arlington Recreation Park,2020-07-18 17:50,2
L5742264,US,US-VT,US-VT-007,44.5000867,-73.241322,Arms Forest,2021-05-23 07:10,94
L1051977,US,US-VT,US-VT-001,44.1489568,-73.3674717,Arnold Bay,2021-05-09 12:32,89
L751855,US,US-VT,US-VT-011,44.6782514,-73.1036469,Arrowhead Mountain Lake - Milton (760 acres),2021-05-13 08:55,133
L13003515,US,US-VT,US-VT-023,44.3082919,-72.6965585,Arthur Buck River Access,2021-03-31 17:27,10
L1967311,US,US-VT,US-VT-027,43.5076627,-72.6344776,Arthur Davis WMA,1999-05-09 08:15,45
L1959481,US,US-VT,US-VT-027,43.4445691,-72.432518,Ascutney State Park,2021-05-20 09:30,83
L751856,US,US-VT,US-VT-025,43.1222418,-72.6053509,Athens Pond - Athens (21 acres),2021-04-13 07:31,30
